001,3fe93c,7fd278,bfbbb4,ffa4f0
0e1,2bfdbc,6be6f8,abd034,ebb970
0e5,2ba2ac,6b8be8,ab7524,eb5e60
0e9,2b479c,6b30d8,ab1a14,eb0350
0ed,2aec8c,6ad5c8,aabf04,eaa840
0f1,2a917c,6a7ab8,aa63f4,ea4d30
0f5,2a366c,6a1fa8,aa08e4,e9f220
0f9,29db5c,69c498,a9add4,e99710
0fd,29804c,696988,a952c4,e93c00
101,29253c,690e78,a8f7b4,e8e0f0
105,28ca2c,68b368,a89ca4,e885e0
109,286f1c,685858,a84194,e82ad0
10d,28140c,67fd48,a7e684,e7cfc0
111,27b8fc,67a238,a78b74,e774b0
115,275dec,674728,a73064,e719a0
119,2702dc,66ec18,a6d554,e6be90
11d,26a7cc,669108,a67a44,e66380
121,264cbc,6635f8,a61f34,e60870
125,25f1ac,65dae8,a5c424,e5ad60
129,25969c,657fd8,a56914,e55250
12d,253b8c,6524c8,a50e04,e4f740
131,24e07c,64c9b8,a4b2f4,e49c30
135,24856c,646ea8,a457e4,e44120
139,242a5c,641398,a3fcd4,e3e610
13d,23cf4c,63b888,a3a1c4,e38b00
141,23743c,635d78,a346b4,e32ff0
145,23192c,630268,a2eba4,e2d4e0
149,22be1c,62a758,a29094,e279d0
14d,22630c,624c48,a23584,e21ec0
151,2207fc,61f138,a1da74,e1c3b0
155,21acec,619628,a17f64,e168a0
159,2151dc,613b18,a12454,e10d90
15d,20f6cc,60e008,a0c944,e0b280
161,209bbc,6084f8,a06e34,e05770
165,2040ac,6029e8,a01324,dffc60
169,1fe59c,5fced8,9fb814,dfa150
16d,1f8a8c,5f73c8,9f5d04,df4640
171,1f2f7c,5f18b8,9f01f4,deeb30
175,1ed46c,5ebda8,9ea6e4,de9020
179,1e795c,5e6298,9e4bd4,de3510
17d,1e1e4c,5e0788,9df0c4,ddda00
181,1dc33c,5dac78,9d95b4,dd7ef0
185,1d682c,5d5168,9d3aa4,dd23e0
189,1d0d1c,5cf658,9cdf94,dcc8d0
18d,1cb20c,5c9b48,9c8484,dc6dc0
191,1c56fc,5c4038,9c2974,dc12b0
195,1bfbec,5be528,9bce64,dbb7a0
199,1ba0dc,5b8a18,9b7354,db5c90
19d,1b45cc,5b2f08,9b1844,db0180
1a1,1aeabc,5ad3f8,9abd34,daa670
1a5,1a8fac,5a78e8,9a6224,da4b60
1a9,1a349c,5a1dd8,9a0714,d9f050
1ad,19d98c,59c2c8,99ac04,d99540
1b1,197e7c,5967b8,9950f4,d93a30
1b5,19236c,590ca8,98f5e4,d8df20
1b9,18c85c,58b198,989ad4,d88410
1bd,186d4c,585688,983fc4,d82900
1c1,18123c,57fb78,97e4b4,d7cdf0
1c5,17b72c,57a068,9789a4,d772e0
1c9,175c1c,574558,972e94,d717d0
1cd,17010c,56ea48,96d384,d6bcc0
1d1,16a5fc,568f38,967874,d661b0
1d5,164aec,563428,961d64,d606a0
1d9,15efdc,55d918,95c254,d5ab90
1dd,1594cc,557e08,956744,d55080
1e1,1539bc,5522f8,950c34,d4f570
1e5,14deac,54c7e8,94b124,d49a60
1e9,14839c,546cd8,945614,d43f50
1ed,14288c,5411c8,93fb04,d3e440
1f1,13cd7c,53b6b8,939ff4,d38930
1f5,13726c,535ba8,9344e4,d32e20
1f9,13175c,530098,92e9d4,d2d310
1fd,12bc4c,52a588,928ec4,d27800
201,12613c,524a78,9233b4,d21cf0
205,12062c,51ef68,91d8a4,d1c1e0
209,11ab1c,519458,917d94,d166d0
20d,11500c,513948,912284,d10bc0
211,10f4fc,50de38,90c774,d0b0b0
215,1099ec,508328,906c64,d055a0
219,103edc,502818,901154,cffa90
21d,fe3cc,4fcd08,8fb644,cf9f80
221,f88bc,4f71f8,8f5b34,cf4470
225,f2dac,4f16e8,8f0024,cee960
229,ed29c,4ebbd8,8ea514,ce8e50
22d,e778c,4e60c8,8e4a04,ce3340
231,e1c7c,4e05b8,8deef4,cdd830
235,dc16c,4daaa8,8d93e4,cd7d20
239,d665c,4d4f98,8d38d4,cd2210
23d,d0b4c,4cf488,8cddc4,ccc700
241,cb03c,4c9978,8c82b4,cc6bf0
245,c552c,4c3e68,8c27a4,cc10e0
249,bfa1c,4be358,8bcc94,cbb5d0
24d,b9f0c,4b8848,8b7184,cb5ac0
251,b43fc,4b2d38,8b1674,caffb0
255,ae8ec,4ad228,8abb64,caa4a0
259,a8ddc,4a7718,8a6054,ca4990
25d,a32cc,4a1c08,8a0544,c9ee80
261,9d7bc,49c0f8,89aa34,c99370
265,97cac,4965e8,894f24,c93860
269,9219c,490ad8,88f414,c8dd50
26d,8c68c,48afc8,889904,c88240
271,86b7c,4854b8,883df4,c82730
275,8106c,47f9a8,87e2e4,c7cc20
279,7b55c,479e98,8787d4,c77110
27d,75a4c,474388,872cc4,c71600
281,6ff3c,46e878,86d1b4,c6baf0
285,6a42c,468d68,8676a4,c65fe0
289,6491c,463258,861b94,c604d0
28d,5ee0c,45d748,85c084,c5a9c0
291,592fc,457c38,856574,c54eb0
295,537ec,452128,850a64,c4f3a0
299,4dcdc,44c618,84af54,c49890
29d,481cc,446b08,845444,c43d80
2a1,426bc,440ff8,83f934,c3e270
2a5,3cbac,43b4e8,839e24,c38760
2a9,3709c,4359d8,834314,c32c50
2ad,3158c,42fec8,82e804,c2d140
2b1,2ba7c,42a3b8,828cf4,c27630
2b5,25f6c,4248a8,8231e4,c21b20
2b9,2045c,41ed98,81d6d4,c1c010
2bd,1a94c,419288,817bc4,c16500
2c1,14e3c,413778,8120b4,c109f0
2c5,f32c,40dc68,80c5a4,c0aee0
2c9,981c,408158,806a94,c053d0
2cd,3d0c,402648,800f84,bff8c0
2d2,3fcb38,7fb474,bf9db0,ff86ec
2d6,3f7028,7f5964,bf42a0,ff2bdc
2da,3f1518,7efe54,bee790,fed0cc
2de,3eba08,7ea344,be8c80,fe75bc
2e2,3e5ef8,7e4834,be3170,fe1aac
2e6,3e03e8,7ded24,bdd660,fdbf9c
2ea,3da8d8,7d9214,bd7b50,fd648c
2ee,3d4dc8,7d3704,bd2040,fd097c
2f2,3cf2b8,7cdbf4,bcc530,fcae6c
2f6,3c97a8,7c80e4,bc6a20,fc535c
2fa,3c3c98,7c25d4,bc0f10,fbf84c
2fe,3be188,7bcac4,bbb400,fb9d3c
302,3b8678,7b6fb4,bb58f0,fb422c
306,3b2b68,7b14a4,bafde0,fae71c
30a,3ad058,7ab994,baa2d0,fa8c0c
30e,3a7548,7a5e84,ba47c0,fa30fc
312,3a1a38,7a0374,b9ecb0,f9d5ec
316,39bf28,79a864,b991a0,f97adc
31a,396418,794d54,b93690,f91fcc
31e,390908,78f244,b8db80,f8c4bc
322,38adf8,789734,b88070,f869ac
326,3852e8,783c24,b82560,f80e9c
32a,37f7d8,77e114,b7ca50,f7b38c
32e,379cc8,778604,b76f40,f7587c
332,3741b8,772af4,b71430,f6fd6c
336,36e6a8,76cfe4,b6b920,f6a25c
33a,368b98,7674d4,b65e10,f6474c
33e,363088,7619c4,b60300,f5ec3c
342,35d578,75beb4,b5a7f0,f5912c
346,357a68,7563a4,b54ce0,f5361c
34a,351f58,750894,b4f1d0,f4db0c
34e,34c448,74ad84,b496c0,f47ffc
352,346938,745274,b43bb0,f424ec
356,340e28,73f764,b3e0a0,f3c9dc
35a,33b318,739c54,b38590,f36ecc
35e,335808,734144,b32a80,f313bc
362,32fcf8,72e634,b2cf70,f2b8ac
366,32a1e8,728b24,b27460,f25d9c
36a,3246d8,723014,b21950,f2028c
36e,31ebc8,71d504,b1be40,f1a77c
372,3190b8,7179f4,b16330,f14c6c
376,3135a8,711ee4,b10820,f0f15c
37a,30da98,70c3d4,b0ad10,f0964c
37e,307f88,7068c4,b05200,f03b3c
382,302478,700db4,aff6f0,efe02c
386,2fc968,6fb2a4,af9be0,ef851c
38a,2f6e58,6f5794,af40d0,ef2a0c
38e,2f1348,6efc84,aee5c0,eecefc
392,2eb838,6ea174,ae8ab0,ee73ec
396,2e5d28,6e4664,ae2fa0,ee18dc
39a,2e0218,6deb54,add490,edbdcc
39e,2da708,6d9044,ad7980,ed62bc
3a2,2d4bf8,6d3534,ad1e70,ed07ac
3a6,2cf0e8,6cda24,acc360,ecac9c
3aa,2c95d8,6c7f14,ac6850,ec518c
3ae,2c3ac8,6c2404,ac0d40,ebf67c
3b2,2bdfb8,6bc8f4,abb230,eb9b6c
3b6,2b84a8,6b6de4,ab5720,eb405c
3ba,2b2998,6b12d4,aafc10,eae54c
3be,2ace88,6ab7c4,aaa100,ea8a3c
3c2,2a7378,6a5cb4,aa45f0,ea2f2c
3c6,2a1868,6a01a4,a9eae0,e9d41c
3ca,29bd58,69a694,a98fd0,e9790c
3ce,296248,694b84,a934c0,e91dfc
3d2,290738,68f074,a8d9b0,e8c2ec
3d6,28ac28,689564,a87ea0,e867dc
3da,285118,683a54,a82390,e80ccc
3de,27f608,67df44,a7c880,e7b1bc
3e2,279af8,678434,a76d70,e756ac
3e6,273fe8,672924,a71260,e6fb9c
3ea,26e4d8,66ce14,a6b750,e6a08c
3ee,2689c8,667304,a65c40,e6457c
3f2,262eb8,6617f4,a60130,e5ea6c
3f6,25d3a8,65bce4,a5a620,e58f5c
3fa,257898,6561d4,a54b10,e5344c
3fe,251d88,6506c4,a4f000,e4d93c
402,24c278,64abb4,a494f0,e47e2c
406,246768,6450a4,a439e0,e4231c
40a,240c58,63f594,a3ded0,e3c80c
40e,23b148,639a84,a383c0,e36cfc
412,235638,633f74,a328b0,e311ec
416,22fb28,62e464,a2cda0,e2b6dc
41a,22a018,628954,a27290,e25bcc
41e,224508,622e44,a21780,e200bc
422,21e9f8,61d334,a1bc70,e1a5ac
426,218ee8,617824,a16160,e14a9c
42a,2133d8,611d14,a10650,e0ef8c
42e,20d8c8,60c204,a0ab40,e0947c
432,207db8,6066f4,a05030,e0396c
436,2022a8,600be4,9ff520,dfde5c
43a,1fc798,5fb0d4,9f9a10,df834c
43e,1f6c88,5f55c4,9f3f00,df283c
442,1f1178,5efab4,9ee3f0,decd2c
446,1eb668,5e9fa4,9e88e0,de721c
44a,1e5b58,5e4494,9e2dd0,de170c
44e,1e0048,5de984,9dd2c0,ddbbfc
452,1da538,5d8e74,9d77b0,dd60ec
456,1d4a28,5d3364,9d1ca0,dd05dc
45a,1cef18,5cd854,9cc190,dcaacc
45e,1c9408,5c7d44,9c6680,dc4fbc
462,1c38f8,5c2234,9c0b70,dbf4ac
466,1bdde8,5bc724,9bb060,db999c
46a,1b82d8,5b6c14,9b5550,db3e8c
46e,1b27c8,5b1104,9afa40,dae37c
472,1accb8,5ab5f4,9a9f30,da886c
476,1a71a8,5a5ae4,9a4420,da2d5c
47a,1a1698,59ffd4,99e910,d9d24c
47e,19bb88,59a4c4,998e00,d9773c
482,196078,5949b4,9932f0,d91c2c
486,190568,58eea4,98d7e0,d8c11c
48a,18aa58,589394,987cd0,d8660c
48e,184f48,583884,9821c0,d80afc
492,17f438,57dd74,97c6b0,d7afec
496,179928,578264,976ba0,d754dc
49a,173e18,572754,971090,d6f9cc
49e,16e308,56cc44,96b580,d69ebc
4a2,1687f8,567134,965a70,d643ac
4a6,162ce8,561624,95ff60,d5e89c
4aa,15d1d8,55bb14,95a450,d58d8c
4ae,1576c8,556004,954940,d5327c
4b2,151bb8,5504f4,94ee30,d4d76c
4b6,14c0a8,54a9e4,949320,d47c5c
4ba,146598,544ed4,943810,d4214c
4be,140a88,53f3c4,93dd00,d3c63c
4c2,13af78,5398b4,9381f0,d36b2c
4c6,135468,533da4,9326e0,d3101c
4ca,12f958,52e294,92cbd0,d2b50c
4ce,129e48,528784,9270c0,d259fc
4d2,124338,522c74,9215b0,d1feec
4d6,11e828,51d164,91baa0,d1a3dc
4da,118d18,517654,915f90,d148cc
4de,113208,511b44,910480,d0edbc
4e2,10d6f8,50c034,90a970,d092ac
4e6,107be8,506524,904e60,d0379c
4ea,1020d8,500a14,8ff350,cfdc8c
4ee,fc5c8,4faf04,8f9840,cf817c
4f2,f6ab8,4f53f4,8f3d30,cf266c
4f6,f0fa8,4ef8e4,8ee220,cecb5c
4fa,eb498,4e9dd4,8e8710,ce704c
4fe,e5988,4e42c4,8e2c00,ce153c
502,dfe78,4de7b4,8dd0f0,cdba2c
506,da368,4d8ca4,8d75e0,cd5f1c
50a,d4858,4d3194,8d1ad0,cd040c
50e,ced48,4cd684,8cbfc0,cca8fc
512,c9238,4c7b74,8c64b0,cc4dec
516,c3728,4c2064,8c09a0,cbf2dc
51a,bdc18,4bc554,8bae90,cb97cc
51e,b8108,4b6a44,8b5380,cb3cbc
522,b25f8,4b0f34,8af870,cae1ac
526,acae8,4ab424,8a9d60,ca869c
52a,a6fd8,4a5914,8a4250,ca2b8c
52e,a14c8,49fe04,89e740,c9d07c
532,9b9b8,49a2f4,898c30,c9756c
536,95ea8,4947e4,893120,c91a5c
53a,90398,48ecd4,88d610,c8bf4c
53e,8a888,4891c4,887b00,c8643c
542,84d78,4836b4,881ff0,c8092c
546,7f268,47dba4,87c4e0,c7ae1c
54a,79758,478094,8769d0,c7530c
54e,73c48,472584,870ec0,c6f7fc
552,6e138,46ca74,86b3b0,c69cec
556,68628,466f64,8658a0,c641dc
55a,62b18,461454,85fd90,c5e6cc
55e,5d008,45b944,85a280,c58bbc
562,574f8,455e34,854770,c530ac
566,519e8,450324,84ec60,c4d59c
56a,4bed8,44a814,849150,c47a8c
56e,463c8,444d04,843640,c41f7c
572,408b8,43f1f4,83db30,c3c46c
576,3ada8,4396e4,838020,c3695c
57a,35298,433bd4,832510,c30e4c
57e,2f788,42e0c4,82ca00,c2b33c
582,29c78,4285b4,826ef0,c2582c
586,24168,422aa4,8213e0,c1fd1c
58a,1e658,41cf94,81b8d0,c1a20c
58e,18b48,417484,815dc0,c146fc
592,13038,411974,8102b0,c0ebec
596,d528,40be64,80a7a0,c090dc
59a,7a18,406354,804c90,c035cc
59e,1f08,400844,7ff180,bfdabc
5a3,3fad34,7f9670,bf7fac,ff68e8
5a7,3f5224,7f3b60,bf249c,ff0dd8
5ab,3ef714,7ee050,bec98c,feb2c8
5af,3e9c04,7e8540,be6e7c,fe57b8
5b3,3e40f4,7e2a30,be136c,fdfca8
5b7,3de5e4,7dcf20,bdb85c,fda198
5bb,3d8ad4,7d7410,bd5d4c,fd4688
5bf,3d2fc4,7d1900,bd023c,fceb78
5c3,3cd4b4,7cbdf0,bca72c,fc9068
5c7,3c79a4,7c62e0,bc4c1c,fc3558
5cb,3c1e94,7c07d0,bbf10c,fbda48
5cf,3bc384,7bacc0,bb95fc,fb7f38
5d3,3b6874,7b51b0,bb3aec,fb2428
5d7,3b0d64,7af6a0,badfdc,fac918
5db,3ab254,7a9b90,ba84cc,fa6e08
5df,3a5744,7a4080,ba29bc,fa12f8
5e3,39fc34,79e570,b9ceac,f9b7e8
5e7,39a124,798a60,b9739c,f95cd8
5eb,394614,792f50,b9188c,f901c8
5ef,38eb04,78d440,b8bd7c,f8a6b8
5f3,388ff4,787930,b8626c,f84ba8
5f7,3834e4,781e20,b8075c,f7f098
5fb,37d9d4,77c310,b7ac4c,f79588
5ff,377ec4,776800,b7513c,f73a78
603,3723b4,770cf0,b6f62c,f6df68
607,36c8a4,76b1e0,b69b1c,f68458
60b,366d94,7656d0,b6400c,f62948
60f,361284,75fbc0,b5e4fc,f5ce38
613,35b774,75a0b0,b589ec,f57328
617,355c64,7545a0,b52edc,f51818
61b,350154,74ea90,b4d3cc,f4bd08
61f,34a644,748f80,b478bc,f461f8
623,344b34,743470,b41dac,f406e8
627,33f024,73d960,b3c29c,f3abd8
62b,339514,737e50,b3678c,f350c8
62f,333a04,732340,b30c7c,f2f5b8
633,32def4,72c830,b2b16c,f29aa8
637,3283e4,726d20,b2565c,f23f98
63b,3228d4,721210,b1fb4c,f1e488
63f,31cdc4,71b700,b1a03c,f18978
643,3172b4,715bf0,b1452c,f12e68
647,3117a4,7100e0,b0ea1c,f0d358
64b,30bc94,70a5d0,b08f0c,f07848
64f,306184,704ac0,b033fc,f01d38
653,300674,6fefb0,afd8ec,efc228
657,2fab64,6f94a0,af7ddc,ef6718
65b,2f5054,6f3990,af22cc,ef0c08
65f,2ef544,6ede80,aec7bc,eeb0f8
663,2e9a34,6e8370,ae6cac,ee55e8
667,2e3f24,6e2860,ae119c,edfad8
66b,2de414,6dcd50,adb68c,ed9fc8
66f,2d8904,6d7240,ad5b7c,ed44b8
673,2d2df4,6d1730,ad006c,ece9a8
677,2cd2e4,6cbc20,aca55c,ec8e98
67b,2c77d4,6c6110,ac4a4c,ec3388
67f,2c1cc4,6c0600,abef3c,ebd878
683,2bc1b4,6baaf0,ab942c,eb7d68
687,2b66a4,6b4fe0,ab391c,eb2258
68b,2b0b94,6af4d0,aade0c,eac748
68f,2ab084,6a99c0,aa82fc,ea6c38
693,2a5574,6a3eb0,aa27ec,ea1128
697,29fa64,69e3a0,a9ccdc,e9b618
69b,299f54,698890,a971cc,e95b08
69f,294444,692d80,a916bc,e8fff8
6a3,28e934,68d270,a8bbac,e8a4e8
6a7,288e24,687760,a8609c,e849d8
6ab,283314,681c50,a8058c,e7eec8
6af,27d804,67c140,a7aa7c,e793b8
6b3,277cf4,676630,a74f6c,e738a8
6b7,2721e4,670b20,a6f45c,e6dd98
6bb,26c6d4,66b010,a6994c,e68288
6bf,266bc4,665500,a63e3c,e62778
6c3,2610b4,65f9f0,a5e32c,e5cc68
6c7,25b5a4,659ee0,a5881c,e57158
6cb,255a94,6543d0,a52d0c,e51648
6cf,24ff84,64e8c0,a4d1fc,e4bb38
6d3,24a474,648db0,a476ec,e46028
6d7,244964,6432a0,a41bdc,e40518
6db,23ee54,63d790,a3c0cc,e3aa08
6df,239344,637c80,a365bc,e34ef8
6e3,233834,632170,a30aac,e2f3e8
6e7,22dd24,62c660,a2af9c,e298d8
6eb,228214,626b50,a2548c,e23dc8
6ef,222704,621040,a1f97c,e1e2b8
6f3,21cbf4,61b530,a19e6c,e187a8
6f7,2170e4,615a20,a1435c,e12c98
6fb,2115d4,60ff10,a0e84c,e0d188
6ff,20bac4,60a400,a08d3c,e07678
703,205fb4,6048f0,a0322c,e01b68
707,2004a4,5fede0,9fd71c,dfc058
70b,1fa994,5f92d0,9f7c0c,df6548
70f,1f4e84,5f37c0,9f20fc,df0a38
713,1ef374,5edcb0,9ec5ec,deaf28
717,1e9864,5e81a0,9e6adc,de5418
71b,1e3d54,5e2690,9e0fcc,ddf908
71f,1de244,5dcb80,9db4bc,dd9df8
723,1d8734,5d7070,9d59ac,dd42e8
727,1d2c24,5d1560,9cfe9c,dce7d8
72b,1cd114,5cba50,9ca38c,dc8cc8
72f,1c7604,5c5f40,9c487c,dc31b8
733,1c1af4,5c0430,9bed6c,dbd6a8
737,1bbfe4,5ba920,9b925c,db7b98
73b,1b64d4,5b4e10,9b374c,db2088
73f,1b09c4,5af300,9adc3c,dac578
743,1aaeb4,5a97f0,9a812c,da6a68
747,1a53a4,5a3ce0,9a261c,da0f58
74b,19f894,59e1d0,99cb0c,d9b448
74f,199d84,5986c0,996ffc,d95938
753,194274,592bb0,9914ec,d8fe28
757,18e764,58d0a0,98b9dc,d8a318
75b,188c54,587590,985ecc,d84808
75f,183144,581a80,9803bc,d7ecf8
763,17d634,57bf70,97a8ac,d791e8
767,177b24,576460,974d9c,d736d8
76b,172014,570950,96f28c,d6dbc8
76f,16c504,56ae40,96977c,d680b8
773,1669f4,565330,963c6c,d625a8
777,160ee4,55f820,95e15c,d5ca98
77b,15b3d4,559d10,95864c,d56f88
77f,1558c4,554200,952b3c,d51478
783,14fdb4,54e6f0,94d02c,d4b968
787,14a2a4,548be0,94751c,d45e58
78b,144794,5430d0,941a0c,d40348
78f,13ec84,53d5c0,93befc,d3a838
793,139174,537ab0,9363ec,d34d28
797,133664,531fa0,9308dc,d2f218
79b,12db54,52c490,92adcc,d29708
79f,128044,526980,9252bc,d23bf8
7a3,122534,520e70,91f7ac,d1e0e8
7a7,11ca24,51b360,919c9c,d185d8
7ab,116f14,515850,91418c,d12ac8
7af,111404,50fd40,90e67c,d0cfb8
7b3,10b8f4,50a230,908b6c,d074a8
7b7,105de4,504720,90305c,d01998
7bb,1002d4,4fec10,8fd54c,cfbe88
7bf,fa7c4,4f9100,8f7a3c,cf6378
7c3,f4cb4,4f35f0,8f1f2c,cf0868
7c7,ef1a4,4edae0,8ec41c,cead58
7cb,e9694,4e7fd0,8e690c,ce5248
7cf,e3b84,4e24c0,8e0dfc,cdf738
7d3,de074,4dc9b0,8db2ec,cd9c28
7d7,d8564,4d6ea0,8d57dc,cd4118
7db,d2a54,4d1390,8cfccc,cce608
7df,ccf44,4cb880,8ca1bc,cc8af8
7e3,c7434,4c5d70,8c46ac,cc2fe8
7e7,c1924,4c0260,8beb9c,cbd4d8
7eb,bbe14,4ba750,8b908c,cb79c8
7ef,b6304,4b4c40,8b357c,cb1eb8
7f3,b07f4,4af130,8ada6c,cac3a8
7f7,aace4,4a9620,8a7f5c,ca6898
7fb,a51d4,4a3b10,8a244c,ca0d88
7ff,9f6c4,49e000,89c93c,c9b278
803,99bb4,4984f0,896e2c,c95768
807,940a4,4929e0,89131c,c8fc58
80b,8e594,48ced0,88b80c,c8a148
80f,88a84,4873c0,885cfc,c84638
813,82f74,4818b0,8801ec,c7eb28
817,7d464,47bda0,87a6dc,c79018
81b,77954,476290,874bcc,c73508
81f,71e44,470780,86f0bc,c6d9f8
823,6c334,46ac70,8695ac,c67ee8
827,66824,465160,863a9c,c623d8
82b,60d14,45f650,85df8c,c5c8c8
82f,5b204,459b40,85847c,c56db8
833,556f4,454030,85296c,c512a8
837,4fbe4,44e520,84ce5c,c4b798
83b,4a0d4,448a10,84734c,c45c88
83f,445c4,442f00,84183c,c40178
843,3eab4,43d3f0,83bd2c,c3a668
847,38fa4,4378e0,83621c,c34b58
84b,33494,431dd0,83070c,c2f048
84f,2d984,42c2c0,82abfc,c29538
853,27e74,4267b0,8250ec,c23a28
857,22364,420ca0,81f5dc,c1df18
85b,1c854,41b190,819acc,c18408
85f,16d44,415680,813fbc,c128f8
863,11234,40fb70,80e4ac,c0cde8
867,b724,40a060,80899c,c072d8
86b,5c14,404550,802e8c,c017c8
